Cell,Parent,LineageName,Birth,Death,Type,Description,,
ABalpaapap,ABalpaapa,ABalpaapap,225,,,,,
ABplpppaap,ABplpppaa,ABplpppaap,225,,,,,
ABprpapaaa,ABprpapaa,ABprpapaaa,225,,,,,
ABprpapaap,ABprpapaa,ABprpapaap,225,,,,,
ABplpppaaa,ABplpppaa,ABplpppaaa,225,,,,,
ABprpapppa,ABprpappp,ABprpapppa,225,,,,,
ABprppppap,ABprppppa,ABprppppap,225,,,,,
ABprpapppp,ABprpappp,ABprpapppp,225,,,,,
ABprppppaa,ABprppppa,ABprppppaa,225,,,,,
ABalpapapp,ABalpapap,ABalpapapp,225,,,,,
ABplpaaaaa,ABplpaaaa,ABplpaaaaa,225,,,,,
ABplpaaaap,ABplpaaaa,ABplpaaaap,225,,,,,
ABalpapapa,ABalpapap,ABalpapapa,225,,,,,
ABplpaaapa,ABplpaaap,ABplpaaapa,225,,,,,
ABalpaapaa,ABalpaapa,ABalpaapaa,225,,,,,
ABplpaaapp,ABplpaaap,ABplpaaapp,225,,,,,
ABprpaapaa,ABprpaapa,ABprpaapaa,225,,,,,
ABprpppppp,ABprppppp,ABprpppppp,225,,,,,
ABprpppppa,ABprppppp,ABprpppppa,225,,,,,
G2,ABplapaap,ABplapaapa,225,,,"Postembryonic blast cell; excretory socket is G1 in embryo, G2 in L1, G2.p later.",,
ABaraaapaa,ABaraaapa,ABaraaapaa,225,,,,,
ABaraaapap,ABaraaapa,ABaraaapap,225,,,,,
ABprapaaaa,ABprapaaa,ABprapaaaa,225,,,,,
ABprpaaapp,ABprpaaap,ABprpaaapp,225,,,,,
ABalaaapal,ABalaaapa,ABalaaapal,225,,,,,
ABalaaapar,ABalaaapa,ABalaaapar,225,,,,,
P2,ABprapaap,ABprapaapp,225,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 R).",,
W,ABprapaap,ABprapaapa,225,,,"Postembryonic neuroblast, analagous to Pn.a.",,
H0R,ABarpappp,ABarpapppa,225,,hypoderm,Seam hypodermal cell.,,
ABprapaaap,ABprapaaa,ABprapaaap,225,,,,,
ABalpppapp,ABalpppap,ABalpppapp,225,,,,,
H1R,ABarpappp,ABarpapppp,225,,hypoderm,"Seam hypodermal cell, postembryonic blast cell.",,
ABalpppapa,ABalpppap,ABalpppapa,225,,,,,
ABalaaappl,ABalaaapp,ABalaaappl,225,,,,,
ABprpaaaaa,ABprpaaaa,ABprpaaaaa,225,,,,,
hyp6,ABarpaapa,ABarpaapaa,225,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp7,ABarpaapa,ABarpaapap,225,,hypoderm,Embryonic large hypodermal syncytium.,,
ABprpaaaap,ABprpaaaa,ABprpaaaap,225,,,,,
ABalaaappr,ABalaaapp,ABalaaappr,225,,,,,
ABprpaaapa,ABprpaaap,ABprpaaapa,225,,,,,
ABpraaapaa,ABpraaapa,ABpraaapaa,226,,,,,
ABpraaapap,ABpraaapa,ABpraaapap,226,,,,,
ABplpaapap,ABplpaapa,ABplpaapap,227,,,,,
ABpraaaapp,ABpraaaap,ABpraaaapp,227,,,,,
ABplpaapaa,ABplpaapa,ABplpaapaa,227,,,,,
ABpraaaapa,ABpraaaap,ABpraaaapa,227,,,,,
ABprpppaap,ABprpppaa,ABprpppaap,228,,,,,
ABaraappap,ABaraappa,ABaraappap,228,,,,,
ABaraappaa,ABaraappa,ABaraappaa,228,,,,,
ABprpppapp,ABprpppap,ABprpppapp,228,255,,,,
MSaaaaaa,MSaaaaa,MSaaaaaa,228,,,,,
ABprpppaaa,ABprpppaa,ABprpppaaa,228,,,,,
ABaraapapp,ABaraapap,ABaraapapp,228,,,,,
ABarappaap,ABarappaa,ABarappaap,228,,,,,
ABprpppapa,ABprpppap,ABprpppapa,228,,,,,
ABalpapaap,ABalpapaa,ABalpapaap,228,,,,,
ABaraapapa,ABaraapap,ABaraapapa,228,,,,,
MSaaaaap,MSaaaaa,MSaaaaap,228,,,,,
ABarapaapa,ABarapaap,ABarapaapa,228,,,,,
ABarapaapp,ABarapaap,ABarapaapp,228,,,,,
ABalpapaaa,ABalpapaa,ABalpapaaa,228,,,,,
ABaraapppp,ABaraappp,ABaraapppp,228,,,,,
ABaraapppa,ABaraappp,ABaraapppa,228,,,,,
ABaraapaaa,ABaraapaa,ABaraapaaa,228,,,,,
ABaraapaap,ABaraapaa,ABaraapaap,228,,,,,
ABarappaaa,ABarappaa,ABarappaaa,228,,,,,
ABpraapapa,ABpraapap,ABpraapapa,230,,,,,
int5L,Ealp,Ealpp,230,,,Nucleus divides post-embryonically.,,
ABpraapapp,ABpraapap,ABpraapapp,230,,,,,
ABpraapaap,ABpraapaa,ABpraapaap,230,,,,,
hyp4,ABpraappa,ABpraappaa,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
int2V,Ealp,Ealpa,230,,intestine,,,
ABarapaaap,ABarapaaa,ABarapaaap,230,,,,,
hyp6,ABpraappa,ABpraappap,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
TL,ABplapppp,ABplappppp,230,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1.",,
Earaa,Eara,Earaa,230,,,,,
ABarapaaaa,ABarapaaa,ABarapaaaa,230,,,,,
int5R,Earp,Earpp,230,,,Nucleus divides post-embryonically.,,
ABpraapaaa,ABpraapaa,ABpraapaaa,230,,,,,
ABplppappp,ABplppapp,ABplppappp,230,,,,,
ABplppappa,ABplppapp,ABplppappa,230,,,,,
ABplppapap,ABplppapa,ABplppapap,230,,,,,
ABplppapaa,ABplppapa,ABplppapaa,230,,,,,
TR,ABprapppp,ABprappppp,230,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1.",,
hyp7,ABprapppp,ABprappppa,230,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplppaaap,ABplppaaa,ABplppaaap,230,255,,,,
ABprppaaaa,ABprppaaa,ABprppaaaa,230,,,,,
ABprppaaap,ABprppaaa,ABprppaaap,230,255,,,,
ABplppaaaa,ABplppaaa,ABplppaaaa,230,,,,,
ABaraaappa,ABaraaapp,ABaraaappa,230,,,,,
ABaraaappp,ABaraaapp,ABaraaappp,230,,,,,
ABprppapaa,ABprppapa,ABprppapaa,230,,,,,
ABprppapap,ABprppapa,ABprppapap,230,,,,,
ABprapppap,ABprapppa,ABprapppap,230,,,,,
ABprppappa,ABprppapp,ABprppappa,230,,,,,
ABprppappp,ABprppapp,ABprppappp,230,,,,,
ABprapppaa,ABprapppa,ABprapppaa,230,,,,,
int2D,Earp,Earpa,230,,intestine,,,
ABalppaapa,ABalppaap,ABalppaapa,230,255,,,,
ABalppaapp,ABalppaap,ABalppaapp,230,,,,,
int3D,Eara,Earap,230,,,Nucleus divides post-embryonically.,,
hyp7,ABplapppp,ABplappppa,230,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp7,ABarppaap,ABarppaapa,230,,hypoderm,Embryonic large hypodermal syncytium.,,
int3V,Eala,Ealap,230,,,Nucleus divides post-embryonically.,,
hyp6,ABplaaaap,ABplaaaapp,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp4,ABarpapap,ABarpapapa,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp7,Cpapa,Cpapaa,230,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp6,ABplaappa,ABplaappap,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
ABarpppapp,ABarpppap,ABarpppapp,230,,,,,
hyp7,ABarpppap,ABarpppapa,230,,hypoderm,Embryonic large hypodermal syncytium.,,
hyp6,ABarpapap,ABarpapapp,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
V2R,ABarppppa,ABarppppap,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp4,ABplaappa,ABplaappaa,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
hyp7,Cpapa,Cpapap,230,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplaapaaa,ABplaapaa,ABplaapaaa,230,,,,,
V4R,ABarppppp,ABarpppppa,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
V6R,ABarppppp,ABarpppppp,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
V1R,ABarppppa,ABarppppaa,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
hyp6,ABplaaaap,ABplaaaapa,230,,hypoderm,Cylindrical hypodermal syncytium in head.,,
V4L,ABarppapp,ABarppappa,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABarppaapp,ABarppaap,ABarppaapp,230,,,,,
ABplaapapa,ABplaapap,ABplaapapa,230,,,,,
MSpaaaap,MSpaaaa,MSpaaaap,230,,,,,
ABplapppap,ABplapppa,ABplapppap,230,,,,,
Ealaa,Eala,Ealaa,230,,,,,
ABplapppaa,ABplapppa,ABplapppaa,230,,,,,
ABalpaappp,ABalpaapp,ABalpaappp,230,,,,,
ABplaapapp,ABplaapap,ABplaapapp,230,,,,,
MSpaaaaa,MSpaaaa,MSpaaaaa,230,,,,,
V1L,ABarppapa,ABarppapaa,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABplaapaap,ABplaapaa,ABplaapaap,230,,,,,
V2L,ABarppapa,ABarppapap,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
ABalpaappa,ABalpaapp,ABalpaappa,230,,,,,
V6L,ABarppapp,ABarppappp,230,,,"Seam hypodermal cell, postembryonic blast cell.",,
int4V,Epla,Eplaa,235,,,Nucleus divides post-embryonically.,,
MSaaaapa,MSaaaap,MSaaaapa,235,,,,,
ABplaaaaap,ABplaaaaa,ABplaaaaap,235,,,,,
ABprppaapa,ABprppaap,ABprppaapa,235,,,,,
ABprppaapp,ABprppaap,ABprppaapp,235,,,,,
MSpapaaa,MSpapaa,MSpapaaa,235,,,,,
MSaaaapp,MSaaaap,MSaaaapp,235,,,,,
ABplppaapa,ABplppaap,ABplppaapa,235,,,,,
int6R,Epra,Eprap,235,,,Nucleus divides post-embryonically.,,
ABplppaapp,ABplppaap,ABplppaapp,235,,,,,
MSpapaap,MSpapaa,MSpapaap,235,,,,,
int6L,Epla,Eplap,235,,,Nucleus divides post-embryonically.,,
hyp7,Cpapp,Cpappd,235,,hypoderm,Embryonic large hypodermal syncytium.,,
ABplaaaaaa,ABplaaaaa,ABplaaaaaa,235,,,,,
int4D,Epra,Epraa,235,,,Nucleus divides post-embryonically.,,
MSaapaap,MSaapaa,MSaapaap,235,,,,,
MSpaaapp,MSpaaap,MSpaaapp,235,,,,,
hyp11,Cpapp,Cpappv,235,,hypoderm,Tail dorsal hypodermis.,,
MSpaaapa,MSpaaap,MSpaaapa,235,,,,,
H2R,ABarpppaa,ABarpppaap,235,,,"Seam hypodermal cell, postembryonic blast cell.",,
PVR,Caapp,Caappv,235,,neuron,"Asymmetric interneuron, projects along ventral cord into ring, sends process into tail spike.",,
H2L,ABarppaaa,ABarppaaap,235,,,"Seam hypodermal cell, postembryonic blast cell.",,
ADEshR,ABarpppaa,ABarpppaaa,235,,sheath,Anterior deirid sheath cell.,,
hyp7,Caapp,Caappd,235,,hypoderm,Embryonic large hypodermal syncytium.,,
ADEshL,ABarppaaa,ABarppaaaa,235,,sheath,Anterior deirid sheath cell.,,
ABarpapaap,ABarpapaa,ABarpapaap,235,,,,,
MSaapaaa,MSaapaa,MSaapaaa,235,,,,,
ABarpapaaa,ABarpapaa,ABarpapaaa,235,,,,,
ABalppaaaa,ABalppaaa,ABalppaaaa,237,260,,,,
ABalppaaap,ABalppaaa,ABalppaaap,237,,,,,
ABalpppaaa,ABalpppaa,ABalpppaaa,237,,,,,
ABalpaaapp,ABalpaaap,ABalpaaapp,237,,,,,
ABalpaaaaa,ABalpaaaa,ABalpaaaaa,237,,,,,
ABalpaaaap,ABalpaaaa,ABalpaaaap,237,,,,,
ABalpaaapa,ABalpaaap,ABalpaaapa,237,,,,,
ABalpppaap,ABalpppaa,ABalpppaap,237,,,,,
Cppppa,Cpppp,Cppppa,240,,,,,
ABaraaaaap,ABaraaaaa,ABaraaaaap,240,,,,,
ABalaapapp,ABalaapap,ABalaapapp,240,,,,,
ABarpaaaap,ABarpaaaa,ABarpaaaap,240,,,,,
MSaapapa,MSaapap,MSaapapa,240,,,,,
MSaapapp,MSaapap,MSaapapp,240,,,,,
Cppppp,Cpppp,Cppppp,240,,,,,
hyp5,ABarpappa,ABarpappap,240,,hypoderm,Cylindrical hypodermal syncytium in head.,,
XXXR,ABarpappa,ABarpappaa,240,,hypoderm,"Embryonic head hypodermal cell, no obvious function later.",,
ABalaappaa,ABalaappa,ABalaappaa,240,260,,,,
ABaraaaaaa,ABaraaaaa,ABaraaaaaa,240,,,,,
ABalaapaap,ABalaapaa,ABalaapaap,240,,,,,
mu bod,MSapaaa,MSapaaap,240,,muscle,Embryonic body wall muscle.,,
MSaaapaa,MSaaapa,MSaaapaa,240,,,,,
ABarpaaapa,ABarpaaap,ABarpaaapa,240,,,,,
Cpppaa,Cpppa,Cpppaa,240,,,,,
hyp5,ABplaaapa,ABplaaapap,240,,hypoderm,Cylindrical hypodermal syncytium in head.,,
XXXL,ABplaaapa,ABplaaapaa,240,,hypoderm,"Embryonic head hypodermal cell, no obvious function later.",,
ABarpaaapp,ABarpaaap,ABarpaaapp,240,270,,,,
ABalaapaaa,ABalaapaa,ABalaapaaa,240,,,,,
MSaaapap,MSaaapa,MSaaapap,240,,,,,
ABpraaaaaa,ABpraaaaa,ABpraaaaaa,240,,,,,
ABpraaaaap,ABpraaaaa,ABpraaaaap,240,,,,,
Cpppap,Cpppa,Cpppap,240,,,,,
MSapaaaa,MSapaaa,MSapaaaa,240,,,,,
ABalaapapa,ABalaapap,ABalaapapa,240,260,,,,
Cappaa,Cappa,Cappaa,240,,,,,
mu bod,MSapapa,MSapapap,240,,muscle,Embryonic body wall muscle.,,
Cappap,Cappa,Cappap,240,,,,,
ABarpaaaaa,ABarpaaaa,ABarpaaaaa,240,,,,,
MSppapaa,MSppapa,MSppapaa,240,,,,,
MSpapapa,MSpapap,MSpapapa,240,,,,,
mu bod,MSppapa,MSppapap,240,,muscle,Embryonic body wall muscle.,,
Capppa,Cappp,Capppa,240,,,,,
Capppp,Cappp,Capppp,240,,,,,
ABalappaaa,ABalappaa,ABalappaaa,240,270,,,,
ABalappaap,ABalappaa,ABalappaap,240,,,,,
MSapapaa,MSapapa,MSapapaa,240,,,,,
MSpapapp,MSpapap,MSpapapp,240,,,,,
ABalaappap,ABalaappa,ABalaappap,240,,,,,
mu bod,MSppaaa,MSppaaap,240,,muscle,Embryonic body wall muscle.,,
MSppaaaa,MSppaaa,MSppaaaa,240,,,,,
int7L,Eplp,Eplpa,245,,,Nucleus divides post-embryonically.,,
MSpaapap,MSpaapa,MSpaapap,245,,,,,
MSpaapaa,MSpaapa,MSpaapaa,245,,,,,
Eplpp,Eplp,Eplpp,245,,,,,
Eprpp,Eprp,Eprpp,245,,,,,
int7R,Eprp,Eprpa,245,,,Nucleus divides post-embryonically.,,
ABalaaaala,ABalaaaal,ABalaaaala,250,,,,,
ABalaaaalp,ABalaaaal,ABalaaaalp,250,,,,,
Cppapp,Cppap,Cppapp,250,,,,,
Cppapa,Cppap,Cppapa,250,,,,,
ABalaaaarr,ABalaaaar,ABalaaaarr,250,,,,,
Capapa,Capap,Capapa,250,,,,,
Cppaap,Cppaa,Cppaap,250,,,,,
ABalaaaarl,ABalaaaar,ABalaaaarl,250,,,,,
Cppaaa,Cppaa,Cppaaa,250,,,,,
Capaap,Capaa,Capaap,250,,,,,
Capaaa,Capaa,Capaaa,250,,,,,
mu bod,MSapapp,MSapappa,250,,muscle,Embryonic body wall muscle.,,
Capapp,Capap,Capapp,250,,,,,
mu bod,MSapapp,MSapappp,250,,muscle,Embryonic body wall muscle.,,
ABaraaaapp,ABaraaaap,ABaraaaapp,250,280,,,,
mu bod,MSppapp,MSppappa,250,,muscle,Embryonic body wall muscle.,,
ABaraaaapa,ABaraaaap,ABaraaaapa,250,,,,,
mu bod,MSppapp,MSppappp,250,,muscle,Embryonic body wall muscle.,,
ABalppppppp,ABalpppppp,ABalppppppp,255,,,,,
ABalppppppa,ABalpppppp,ABalppppppa,255,,,,,
mc1V,ABalpapppp,ABalpappppa,258,,marginal,Pharyngeal marginal cell.,,
m3VL,ABalpapppp,ABalpappppp,258,,muscle,Pharyngeal muscle cell.,,
mu bod,MSppppp,MSpppppp,260,,muscle,Embryonic body wall muscle.,,
mu bod,MSppppa,MSppppap,260,,muscle,Embryonic body wall muscle.,,
mu bod,MSapppp,MSappppp,260,,muscle,Embryonic body wall muscle.,,
MSppaapa,MSppaap,MSppaapa,260,290,,,,
mu bod,MSppppp,MSpppppa,260,,muscle,Embryonic body wall muscle.,,
M,MSapaap,MSapaapp,260,,,Postembryonic mesoblast.,,
ABpraaapppa,ABpraaappp,ABpraaapppa,260,,,,,
ABpraaapppp,ABpraaappp,ABpraaapppp,260,,,,,
mu bod,MSapppa,MSapppaa,260,,muscle,Embryonic body wall muscle.,,
mu bod,MSppppa,MSppppaa,260,,muscle,Embryonic body wall muscle.,,
mu bod,MSapppa,MSapppap,260,,muscle,Embryonic body wall muscle.,,
MSapaapa,MSapaap,MSapaapa,260,290,,,,
mu int R,MSppaap,MSppaapp,260,,muscle,"Intestinal muscle, attaches to intestine and body wall anterior to anus.",,
mu bod,MSapppp,MSappppa,260,,muscle,Embryonic body wall muscle.,,
m3VR,ABarapappp,ABarapapppp,265,,muscle,Pharyngeal muscle cell.,,
MSpppaaa,MSpppaa,MSpppaaa,265,630,,,,
RMEV,ABplpappaa,ABplpappaaa,265,,neuron,"Ring motoneuron, probably contain GABA.",,
mc2V,ABarapappp,ABarapapppa,265,,marginal,Pharyngeal marginal cell.,,
Dpppa,Dppp,Dpppa,265,,,,,
exc cell,ABplpappaa,ABplpappaap,265,,excretory,Large H-shaped excretory cell.,,
Dappp,Dapp,Dappp,265,,,,,
Z1,MSpppaa,MSpppaap,265,,,Somatic gonad precursor cell.,,
Z4,MSappaa,MSappaap,265,,,Somatic gonad precursor cell.,,
Dpppp,Dppp,Dpppp,265,,,,,
Dappa,Dapp,Dappa,265,,,,,
hmc,MSappaa,MSappaaa,265,,mesoderm,"Head mesodermal cell, function unknown.",,
mu bod,MSpappa,MSpappaa,270,,muscle,Embryonic body wall muscle.,,
mu bod,Dppa,Dppap,270,,muscle,Embryonic body wall muscle.,,
mu bod,Dppa,Dppaa,270,,muscle,Embryonic body wall muscle.,,
int3Va,int3V,Ealapa,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,MSpappa,MSpappap,270,,muscle,Embryonic body wall muscle.,,
MSaapppa,MSaappp,MSaapppa,270,,,,,
int5La,int5L,Ealppa,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpapppp,MSpappp,MSpapppp,270,,,,,
MSpapppa,MSpappp,MSpapppa,270,,,,,
int3Vp,int3V,Ealapp,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int5Lp,int5L,Ealppp,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int3Dp,int3D,Earapp,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,MSpppap,MSpppapp,270,,muscle,Embryonic body wall muscle.,,
mu bod,Dapa,Dapaa,270,,muscle,Embryonic body wall muscle.,,
MSappapa,MSappap,MSappapa,270,300,,,,
int5Rp,int5R,Earppp,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int5Ra,int5R,Earppa,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mc3V,ABalpappap,ABalpappapp,270,,marginal,Pharyngeal marginal cell.,,
e2V,ABalpappap,ABalpappapa,270,,epithelium,Pharyngeal epithelial cell.,,
mu bod,Dapa,Dapap,270,,muscle,Embryonic body wall muscle.,,
mu bod,MSappap,MSappapp,270,,muscle,Embryonic body wall muscle.,,
MSaapppp,MSaappp,MSaapppp,270,,,,,
int3Da,int3D,Earapa,270,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpppapa,MSpppap,MSpppapa,270,300,,,,
int4Dp,int4D,Epraap,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
m7VR,MSpapaap,MSpapaapp,275,,muscle,Pharyngeal muscle cell.,,
int4Da,int4D,Epraaa,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
MSpapaapa,MSpapaap,MSpapaapa,275,,,,,
int4Va,int4V,Eplaaa,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int6Ra,int6R,Eprapa,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,Daaa,Daaaa,275,,muscle,Embryonic body wall muscle.,,
mu bod,Daaa,Daaap,275,,muscle,Embryonic body wall muscle.,,
MSaapaapa,MSaapaap,MSaapaapa,275,,,,,
int4Vp,int4V,Eplaap,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int6Rp,int6R,Eprapp,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
int6La,int6L,Eplapa,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
PHshR,ABprpppapa,ABprpppapaa,275,,sheath,Phasmid sheath cell.,,
mu bod,Dpaa,Dpaap,275,,muscle,Embryonic body wall muscle.,,
hyp9,ABprpppapa,ABprpppapap,275,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp8.",,
m7VL,MSaapaap,MSaapaapp,275,,muscle,Pharyngeal muscle cell.,,
int6Lp,int6L,Eplapp,275,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
mu bod,Dpaa,Dpaaa,275,,muscle,Embryonic body wall muscle.,,
PHshL,ABplpppapa,ABplpppapaa,275,,sheath,Phasmid sheath cell.,,
hyp8,ABplpppapa,ABplpppapap,275,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp9.",,
mu bod,Dpap,Dpapa,277,,muscle,Embryonic body wall muscle.,,
mu bod,Dpap,Dpapp,277,,muscle,Embryonic body wall muscle.,,
mu bod,Daap,Daapp,278,,muscle,Embryonic body wall muscle.,,
m4VR,MSpapaaa,MSpapaaaa,278,,muscle,Pharyngeal muscle cell.,,
mu bod,Daap,Daapa,278,,muscle,Embryonic body wall muscle.,,
m5VR,MSpapaaa,MSpapaaap,278,,muscle,Pharyngeal muscle cell.,,
MSaaappa,MSaaapp,MSaaappa,280,305,,,,
m5VL,MSaapaaa,MSaapaaap,280,,muscle,Pharyngeal muscle cell.,,
m4VL,MSaapaaa,MSaapaaaa,280,,muscle,Pharyngeal muscle cell.,,
AWBR,ABpraaappa,ABpraaappap,280,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath.",,
ADFR,ABpraaappa,ABpraaappaa,280,,neuron,"Amphid neuron, dual ciliate sensory endings, probably chemosensory, enter ring via commissure from ventral ganglion, take up FITC.",,
AWBL,ABalpppppa,ABalpppppap,280,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath.",,
ADFL,ABalpppppa,ABalpppppaa,280,,neuron,"Amphid neuron, dual ciliate sensory endings, probably chemosensory, enter ring via commissure from ventral ganglion, take up FITC.",,
mc1DL,ABalpaapap,ABalpaapapa,280,,marginal,Pharyngeal marginal cell.,,
IL2DL,ABalapappa,ABalapappap,280,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside.",,
AIML,ABplpaappp,ABplpaapppa,280,,neuron,Ring interneuron.,,
vpi3D,MSaaapp,MSaaappp,280,,valve,Pharyngo-intestinal valve.,,
m3L,ABalpaapap,ABalpaapapp,280,,muscle,Pharyngeal muscle cell.,,
U,ABplppppap,ABplppppapa,280,,rectal,"Rectal cell, postembryonic blast cell in male.",,
F,ABplppppap,ABplppppapp,280,,epithelium,Rectal epithelial cell.,,
K,ABplpapppa,ABplpapppaa,280,,rectal,"Rectal cell, postembryonic blast cell.",,
MSaaaaapa,MSaaaaap,MSaaaaapa,280,,,,,
m4DL,MSaaaaap,MSaaaaapp,280,,muscle,Pharyngeal muscle cell.,,
ABplpaapppp,ABplpaappp,ABplpaapppp,280,,,,,
IL2DR,ABalappppa,ABalappppap,280,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside.",,
I5,ABarapapap,ABarapapapp,280,,neuron,Posterior sensory pharyngeal interneuron.,,
ABalapappaa,ABalapappa,ABalapappaa,280,,,,,
arc post V,ABarapapap,ABarapapapa,280,,other,"Interface between pharynx and hypodermis, form anterior part of buccal cavity.",,
DVA,ABprppppap,ABprppppapp,280,,neuron,"Ring interneuron, cell body in dorso-rectal ganglion, has a large vesicle-filled process in ring.",,
m5R,ABaraapppa,ABaraapppap,280,,muscle,Pharyngeal muscle cell.,,
mc1DR,ABaraaapap,ABaraaapapa,280,,marginal,Pharyngeal marginal cell.,,
ABaraapppaa,ABaraapppa,ABaraapppaa,280,,,,,
B,ABprppppap,ABprppppapa,280,,rectal,Rectal cell.,,
m5L,ABaraapapa,ABaraapapap,280,,muscle,Pharyngeal muscle cell.,,
ABaraapapaa,ABaraapapa,ABaraapapaa,280,,,,,
ABalappppaa,ABalappppa,ABalappppaa,280,,,,,
m4R,ABaraaapap,ABaraaapapp,280,,muscle,Pharyngeal muscle cell.,,
rect hyp,ABplpapppa,ABplpapppap,280,,hypoderm,"Rectal hypodermis, underlies cuticle (aka K').",,
m5DL,MSaaaapa,MSaaaapap,285,,muscle,Pharyngeal muscle cell.,,
ABalpppappp,ABalpppapp,ABalpppappp,285,,,,,
ABalpppappa,ABalpppapp,ABalpppappa,285,310,,,,
ABplaapappp,ABplaapapp,ABplaapappp,285,,,,,
m3DL,MSaaapaa,MSaaapaaa,285,,muscle,Pharyngeal muscle cell.,,
m4L,MSaaapaa,MSaaapaap,285,,muscle,Pharyngeal muscle cell.,,
IL2VL,ABalppappp,ABalppapppp,285,,neuron,"Neuron of inner labial sensilla, ciliated ending without rootlets, open to the outside.",,
AIBL,ABplaapapp,ABplaapappa,285,,neuron,Amphid interneuron.,,
RMDDL,ABalpapapa,ABalpapapaa,285,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor.",,
PHAL,ABplpppaap,ABplpppaapp,285,,neuron,"Phasmid neuron, ciliated ending, probably chemosensory, similar to amphids but situated in tail, take up FITC.",,
ABalpapapap,ABalpapapa,ABalpapapap,285,,,,,
ABplpppaapa,ABplpppaap,ABplpppaapa,285,,,,,
rect D,ABplpapppp,ABplpappppp,285,,epithelium,"Rectal epithelial cell, adjacent to intestino-rectal valve, has microvilli.",,
ABalppapppa,ABalppappp,ABalppapppa,285,,,,,
ABalapapapa,ABalapapap,ABalapapapa,285,,,,,
ABalapppapa,ABalapppap,ABalapppapa,285,,,,,
ILsoL,ABalaaapal,ABalaaapall,285,,socket,"Inner labial socket cell, form protuberances at the tip of each labium.",,
AVDL,ABalaaapal,ABalaaapalr,285,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called delta.",,
PVT,ABplpapppp,ABplpappppa,285,,neuron,"Interneuron, projects along ventral cord.",,
URYDR,ABalapppap,ABalapppapp,285,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLQ in embryo.",,
AVDR,ABalaaappr,ABalaaapprl,285,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called delta.",,
ILsoR,ABalaaappr,ABalaaapprr,285,,socket,"Inner labial socket cell, form protuberances at the tip of each labium.",,
int7La,int7L,Eplpaa,285,,intestine,"Birth time data wasn't found, so displayed time is just a guess.",,
